TeamName,Win,Tie,Lose,TranScore(W*1+T*0.5*L*0)
Liverpool,27,1,1,27.5
Man City,18,3,7,19.5
Leicester,16,5,8,18.5
Chelsea,14,6,9,17.0
Man United,12,9,8,16.5
Wolves,10,13,6,16.5
Sheffield United,11,10,7,16.0
Arsenal,9,13,6,15.5
Tottenham,11,8,10,15.0
Crystal Palace,10,9,10,14.5
Burnley,11,6,12,14.0
Everton,10,7,12,13.5
Newcastle,9,8,12,13.0
Southampton,10,4,15,12.0
Brighton,6,11,12,11.5
Watford,6,9,14,10.5
West Ham,7,6,16,10.0
Bournemouth,7,6,16,10.0
Aston Villa,7,4,17,9.0
Norwich,5,6,18,8.0
